date	fed-o	fed	type	level	status	comment
1618941102	0	0	128	10	0	
1618943887	0	0	3	9	0	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 1 created - OK
1618943887	0	0	5	9	0	Federate "SYNCH_OMNET" joins Federation "GLOBAL_SYNCHRONIZATION"(1) with handle 1. Socket 6 - OK
1618943887	1	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1618943887	1	1	39	7	0	Subscribe Interaction Class = 3 - OK
1618943887	1	1	35	7	0	Publish Interaction Class = 4 - OK
1618943887	1	1	9	8	0	ON at time 0.000000 - OK
1618943887	1	1	8	8	0	ON at time 1.000000 - OK
1618943887	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE0, Handle : 2 created - OK
1618943887	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE0"(2) with handle 1. Socket 7 - OK
1618943888	2	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1618943888	2	1	39	7	0	Subscribe Interaction Class = 3 - OK
1618943888	2	1	35	7	0	Publish Interaction Class = 4 - OK
1618943940	1	1	8	8	0	OFF - OK
1618943940	1	1	7	9	0	Federate 1 resign federation(1) - OK
1618943940	0	0	1	9	0	Socket 6 - OK
1618943940	2	1	7	9	0	Federate 1 resign federation(2) - OK
1618943940	0	0	1	9	0	Socket 7 - OK
date	fed-o	fed	type	level	status	comment
1618944109	0	0	128	10	0	
1618944124	0	0	3	9	0	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 1 created - OK
1618944124	0	0	5	9	0	Federate "SYNCH_OMNET" joins Federation "GLOBAL_SYNCHRONIZATION"(1) with handle 1. Socket 6 - OK
1618944124	1	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1618944124	1	1	39	7	0	Subscribe Interaction Class = 3 - OK
1618944124	1	1	35	7	0	Publish Interaction Class = 4 - OK
1618944124	1	1	9	8	0	ON at time 0.000000 - OK
1618944124	1	1	8	8	0	ON at time 1.000000 - OK
1618944124	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE0, Handle : 2 created - OK
1618944124	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE0"(2) with handle 1. Socket 7 - OK
1618944124	2	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1618944124	2	1	39	7	0	Subscribe Interaction Class = 3 - OK
1618944124	2	1	35	7	0	Publish Interaction Class = 4 - OK
1618944205	2	1	7	9	0	Federate 1 resign federation(2) - OK
1618944205	0	0	1	9	0	Socket 7 - OK
1618944205	1	1	8	8	0	OFF - OK
1618944205	1	1	7	9	0	Federate 1 resign federation(1) - OK
1618944205	0	0	1	9	0	Socket 6 - OK
date	fed-o	fed	type	level	status	comment
1618946445	0	0	128	10	0	
date	fed-o	fed	type	level	status	comment
1618946670	0	0	128	10	0	
1618946687	0	0	3	9	0	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 1 created - OK
1618946687	0	0	5	9	0	Federate "SYNCH_OMNET" joins Federation "GLOBAL_SYNCHRONIZATION"(1) with handle 1. Socket 6 - OK
1618946687	1	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1618946687	1	1	39	7	0	Subscribe Interaction Class = 3 - OK
1618946687	1	1	35	7	0	Publish Interaction Class = 4 - OK
1618946687	1	1	9	8	0	ON at time 0.000000 - OK
1618946687	1	1	8	8	0	ON at time 1.000000 - OK
1618946687	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE0, Handle : 2 created - OK
1618946687	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE0"(2) with handle 1. Socket 7 - OK
1618946687	2	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1618946687	2	1	39	7	0	Subscribe Interaction Class = 3 - OK
1618946687	2	1	35	7	0	Publish Interaction Class = 4 - OK
1618946709	0	0	3	10	36	Federation Name : COSSIM_PROC_NET_NODE0, Handle : 3COSSIM_PROC_NET_NODE0 - Exception
1618946709	0	0	5	9	0	Federate "GEM5" joins Federation "COSSIM_PROC_NET_NODE0"(2) with handle 2. Socket 8 - OK
1618946709	2	2	35	7	0	Publish Interaction Class = 3 - OK
1618946709	2	2	39	7	0	Subscribe Interaction Class = 4 - OK
1618946709	2	2	15	8	0	Label "Init" ended - OK
1618946709	2	1	15	8	0	Label "Init" ended - OK
1618946709	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE1, Handle : 4 created - OK
1618946709	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE1"(4) with handle 1. Socket 10 - OK
1618946709	0	0	3	10	36	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 5GLOBAL_SYNCHRONIZATION - Exception
1618946709	0	0	5	9	0	Federate "GEM5_NODE0" joins Federation "GLOBAL_SYNCHRONIZATION"(1) with handle 2. Socket 9 - OK
1618946709	1	2	35	7	0	Publish Interaction Class = 3 - OK
1618946709	1	2	39	7	0	Subscribe Interaction Class = 4 - OK
1618946709	1	2	9	8	0	ON at time 0.000000 - OK
1618946709	1	2	8	8	0	ON at time 1.000000 - OK
1618946709	4	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1618946709	4	1	39	7	0	Subscribe Interaction Class = 3 - OK
1618946709	4	1	35	7	0	Publish Interaction Class = 4 - OK
1618946709	1	2	15	8	0	Label "Init" ended - OK
1618946731	0	0	3	10	36	Federation Name : COSSIM_PROC_NET_NODE1, Handle : 6COSSIM_PROC_NET_NODE1 - Exception
1618946731	0	0	5	9	0	Federate "GEM5" joins Federation "COSSIM_PROC_NET_NODE1"(4) with handle 2. Socket 12 - OK
1618946731	4	2	35	7	0	Publish Interaction Class = 3 - OK
1618946731	4	2	39	7	0	Subscribe Interaction Class = 4 - OK
1618946731	4	2	15	8	0	Label "Init" ended - OK
1618946731	4	1	15	8	0	Label "Init" ended - OK
1618946731	0	0	3	9	0	Federation Name : COSSIM_PROC_NET_NODE2, Handle : 7 created - OK
1618946731	0	0	5	9	0	Federate "OMNET" joins Federation "COSSIM_PROC_NET_NODE2"(7) with handle 1. Socket 14 - OK
1618946731	0	0	3	10	36	Federation Name : GLOBAL_SYNCHRONIZATION, Handle : 8GLOBAL_SYNCHRONIZATION - Exception
1618946731	0	0	5	9	0	Federate "GEM5_NODE1" joins Federation "GLOBAL_SYNCHRONIZATION"(1) with handle 3. Socket 13 - OK
1618946731	7	1	12	8	0	Label "Init" registered. Tag is "Waiting all federations." - OK
1618946731	7	1	39	7	0	Subscribe Interaction Class = 3 - OK
1618946731	7	1	35	7	0	Publish Interaction Class = 4 - OK
1618946731	1	3	35	7	0	Publish Interaction Class = 3 - OK
1618946731	1	3	39	7	0	Subscribe Interaction Class = 4 - OK
1618946731	1	3	9	8	0	ON at time 0.000000 - OK
1618946731	1	3	8	8	0	ON at time 1.000000 - OK
1618946731	0	0	3	10	36	Federation Name : COSSIM_PROC_NET_NODE2, Handle : 9COSSIM_PROC_NET_NODE2 - Exception
